ReviewID,Product,Rating,ReviewText,ReviewDate
1,Phone Y,1,Poor quality and bad performance,2025-04-30
2,Laptop Air,4,Battery life is fantastic,2025-05-03
3,Laptop Air,5,Works better than expected,2025-10-30
4,Wireless Earbuds,1,I regret buying this,2025-03-15
5,Laptop Air,1,The product feels cheap,2025-12-09
6,Phone Y,2,Customer support was terrible,2025-06-18
7,Phone X,4,"Amazing experience, highly recommend",2025-05-23
8,Phone X,2,Very disappointing experience,2025-11-04
9,Phone X,1,Customer support was terrible,2025-10-07
10,Smart Watch,1,Customer support was terrible,2025-05-02
11,Wireless Earbuds,4,Performance is very fast,2025-01-06
12,Laptop Pro,5,Battery life is fantastic,2025-02-20
13,Wireless Earbuds,3,Does the job,2025-10-16
14,Phone X,4,"Amazing experience, highly recommend",2025-12-17
15,Smart Watch,5,Very satisfied with the quality,2025-06-06
16,Laptop Pro,5,Battery life is fantastic,2025-12-12
17,Laptop Air,5,Build quality is excellent,2025-09-14
18,Wireless Earbuds,1,Battery drains too fast,2025-05-27
19,Laptop Pro,5,Performance is very fast,2025-11-23
20,Phone Y,4,I love this product,2025-06-18
21,Laptop Pro,3,Does the job,2025-06-05
22,Smart Watch,5,Build quality is excellent,2025-09-11
23,Laptop Pro,5,Works better than expected,2025-01-16
24,Smart Watch,1,I regret buying this,2025-02-22
25,Phone Y,2,Poor quality and bad performance,2025-08-21
26,Laptop Pro,5,Battery life is fantastic,2025-07-28
27,Laptop Air,2,I regret buying this,2025-11-05
28,Wireless Earbuds,3,Standard performance,2025-07-01
29,Phone Y,1,The product feels cheap,2025-01-22
30,Phone X,1,The product feels cheap,2025-03-07
31,Laptop Air,2,Stopped working after a week,2025-01-17
32,Wireless Earbuds,1,I regret buying this,2025-06-16
33,Phone X,1,Poor quality and bad performance,2025-01-01
34,Wireless Earbuds,3,Nothing special but okay,2025-06-17
35,Smart Watch,2,Poor quality and bad performance,2025-02-25
36,Phone X,4,"Excellent product, works perfectly",2025-02-21
37,Laptop Pro,5,Performance is very fast,2025-11-03
38,Phone Y,3,Decent but could be better,2025-02-09
39,Phone X,2,Very disappointing experience,2025-08-04
40,Smart Watch,2,Battery drains too fast,2025-09-01
41,Laptop Air,2,Stopped working after a week,2025-10-05
42,Smart Watch,2,Customer support was terrible,2025-05-23
43,Phone X,4,Build quality is excellent,2025-06-24
44,Laptop Pro,5,Performance is very fast,2025-12-11
45,Phone Y,1,Completely dissatisfied,2025-12-19
46,Wireless Earbuds,2,Completely dissatisfied,2025-08-06
47,Phone X,4,Great value for the price,2025-06-25
48,Laptop Pro,1,I regret buying this,2025-10-04
49,Phone Y,3,Okay for the price,2025-06-23
50,Smart Watch,3,Fairly acceptable,2025-07-31
51,Phone Y,2,Very slow and frustrating to use,2025-03-12
52,Laptop Air,2,The product feels cheap,2025-08-26
53,Smart Watch,2,Battery drains too fast,2025-10-26
54,Phone X,2,Not worth the price,2025-05-11
55,Smart Watch,2,The product feels cheap,2025-02-18
56,Phone X,3,Fairly acceptable,2025-11-12
57,Phone Y,3,Does the job,2025-10-07
58,Phone X,5,Very satisfied with the quality,2025-05-29
59,Laptop Air,2,Very slow and frustrating to use,2025-05-07
60,Phone X,2,Battery drains too fast,2025-01-19
61,Smart Watch,5,I love this product,2025-02-10
62,Laptop Pro,3,Does the job,2025-07-02
63,Phone Y,3,Does the job,2025-11-07
64,Laptop Air,3,Fairly acceptable,2025-09-09
65,Phone X,1,Customer support was terrible,2025-03-19
66,Laptop Air,4,"Excellent product, works perfectly",2025-05-22
67,Laptop Pro,5,Great value for the price,2025-10-03
68,Wireless Earbuds,4,Performance is very fast,2025-05-02
69,Phone Y,3,Nothing special but okay,2025-07-17
70,Laptop Pro,3,It works as expected,2025-12-26
71,Smart Watch,3,Decent but could be better,2025-10-16
72,Laptop Air,3,Okay for the price,2025-06-18
73,Wireless Earbuds,4,"Amazing experience, highly recommend",2025-11-05
74,Laptop Air,3,Okay for the price,2025-05-04
75,Wireless Earbuds,4,"Excellent product, works perfectly",2025-06-16
76,Wireless Earbuds,3,Fairly acceptable,2025-11-22
77,Laptop Air,4,Very satisfied with the quality,2025-05-21
78,Laptop Air,4,Build quality is excellent,2025-12-11
79,Phone Y,1,Very slow and frustrating to use,2025-08-12
80,Phone X,1,The product feels cheap,2025-12-08
81,Phone X,2,Very slow and frustrating to use,2025-12-18
82,Laptop Air,4,Battery life is fantastic,2025-12-16
83,Smart Watch,5,Performance is very fast,2025-05-01
84,Smart Watch,5,Performance is very fast,2025-05-08
85,Phone X,3,Decent but could be better,2025-12-24
86,Laptop Air,3,Okay for the price,2025-02-15
87,Wireless Earbuds,5,Very satisfied with the quality,2025-10-26
88,Phone X,1,Battery drains too fast,2025-05-10
89,Wireless Earbuds,3,Standard performance,2025-05-09
90,Wireless Earbuds,3,Does the job,2025-06-07
91,Wireless Earbuds,1,The product feels cheap,2025-06-21
